name_m,gender_m,name_f,gender_f
sham singh,male,lata devi,female
kishan,male,deepti,female
ashu @ chavikant,male,jaimala @ chanchal,female
ashu @ chavikant,male,sanaali,female
madhusudan prasad,male,rekha devi,female
mohd parveen,male,sharda,female
shiv kumar,male,aarti,female
"pramod mishra s/o devi prasad mishra r/o 330, j bl",male,babli sharma,female
pramod mishra,male,sunita pancholi,female
amit kumar,male,manbai rekwar,female
sehin,male,mukiman nazir,female
hitesh widhuri,male,poonam,female
rishi mandal,male,priya,female
sharanjeet kour,male,meena,female
munna shah,male,reshma,female
ajit yadav,male,kushma,female
puswa swami ratan,male,saroja w/o,female
bhim kumar @ pappu,male,kumari reena,female
prateek bahl,male,jyoti,female
ravi,male,ruchi,female
roshan  kumar,male,suman,female
raja,male,smt manju devi,female
mohit,male,radha,female
ishu,male,neelu,female
lal singh,male,musrat,female
deepu @ deepak,male,neetu @ gaytri,female
shushil,male,kumarage dona dhanasiri chandra latha,female
moh arifemale,male,jasbir kaur,female
p. murgesh,male,heena,female
rajiv,male,saniya,female
shiv kumar,male,pushpa,female
rajveer singh,male,rekha,female
sahil @ bhola,male,nilofemalear,female
balram bhandari,male,rubi,female
sheh nawaz,male,monny,female
begraj,male,sarita,female
femaleahim ullah,male,manju,female
shahid khan,male,anita,female
sarik,male,meera,female
gomti,male,shifemaleali roshan,female
rahis ahmed,male,laxmi,female
amit kumar @ kalu,male,mitali sahu,female
krishan chand arora,male,smt. santosh with her femaleour children,female
jawed malik,male,hema mehta,female
sameer,male,smt bitona,female
surender kapoor,male,pooja,female
naveen chandra pandey,male,vidhya devi,female
vinod@badri,male,smt priya sharma,female
ramesh kumar,male,babita,female
jagnath murmu,male,pooja,female
mr. narendra  singh,male,kelashi,female
raman kumar @ rupi,male,anisha,female
mali ram,male,lalita,female
sanjeet kumar,male,parul,female
brijesh,male,sunita,female
inderjeet singh,male,pooja,female
vikas,male,smt shiya,female
sunny,male,jayda khatoon,female
gajraj,male,neha,female
raufemale mohammad,male,annu kashyap,female
pawan kumar,male,rashi,female
archna,male,sunita,female
sankar lal,male,mmta,female
barjesh,male,meena,female
md eklok,male,jenab parvin,female
harish @ kala,male,prema devi,female
vasim,male,rekha,female
mithelash,male,chetana,female
meenu kumar,male,himanshi kalshi,female
vikram  routela,male,shabana khatun,female
rahul,male,durga,female
sumit,male,khusbhoo,female
pyare lal,male,monika,female
rakesh chhatwal,male,smt neelam,female
shivam,male,darshna,female
rohit gulati,male,resham,female
hari singh,male,kanchan,female
saroj,male,guddi with her son  anand,female
mahesh,male,rakhi devi,female
sampat sadashiv saluke,male,pooja,female
reena,male,seeta bai,female
chela ram,male,nisha alongwith muskan age-3 yrs.,female
virender kumar,male,suman,female
vijay kumar,male,krishama,female
chandra parkash,male,sayma,female
vijay mann,male,rihana,female
dhanjay,male,rani,female
vikash,male,nandini devi (  with child 2 year shivam ),female
mangilal,male,maya dass,female
mohit kumar,male,seema,female
shashid khan,male,beena,female
amir,male,devki,female
dheeraj chawla,male,mariyam,female
deepak,male,maya kumari,female
parmanand,male,smt. anusuiya,female
nadir tanzeem,male,bala,female
ajay mishra,male,ruksar,female
suresh kumar,male,suman,female
parkash kumar,male,uzma,female
arvind,male,shikha soni,female
jatin,male,shahnaj,female
rajkumar,male,jyotsana @ jyoti,female
ravinder singh,male,namen khatun,female
raja,male,sunpreet kaur d/o,female
bharatlal meena,male,smt. kavita,female
salman,male,baita,female
dund kishan,male,sawatri devi,female
shri sunil gupta,male,kamla,female
badri prasad,male,parmeshwari,female
subhan khan,male,manfemaleool bai,female
durjan,male,chandra kanta saini,female
anurag mishra,male,reena,female
golu,male,geeta,female
sandeep,male,mousam,female
gaurav,male,sushila devi,female
vinay,male,rubeena,female
vinay,male,puja,female
jeetu,male,taran devi,female
suraj,male,anita,female
rahul pratap,male,sayra,female
sonu,male,rukhsona,female
chura bahadur,male,seema @ neha,female
mahender singh,male,pooja,female
kurban,male,priya kumari,female
omprakash,male,priya kmari maurya,female
deepak,male,deepa,female
pradeep kumar sharma @ deepu,male,manju,female
tavraj,male,shiya,female
madhu sudan,male,jyoti,female
femaleaisal yajdani,male,prity,female
manish,male,anjali,female
surajbhan,male,sonam,female
jagat singh,male,devi d/o kailash,female
raju,male,manisha,female
sandeep kumar,male,smt pooja,female
jasvinder singh,male,miss kanchan,female
ranjeet,male,siya kandwal,female
shankar@ kalu,male,nisha kandwal,female
munna shah,male,noorjahan,female
na,male,poonam,female
aashish gupta,male,priyanka,female
bholu ram,male,heena,female
kuldeep,male,harpreet kaur @ geetanjli,female
jahir alam,male,sonia,female
md. anus,male,priti,female
jagdambika,male,babli,female
vijay shri vastav,male,shravani shah,female
chunnu sharma,male,pargati thakur,female
banty,male,savita,female
rakesh,male,lovely,female
sandeep,male,renu parcha,female
raju,male,babita,female
rakesh kumar,male,alka,female
rajesh,male,kanti prshad,female
hansraj,male,satyapal,female
devi lal,male,ku. sandiya,female
sahil,male,km rippi,female
sourabh,male,seema sinha,female
udai narayan panda,male,anisha jain,female
sanjay,male,sunarkali,female
sanjay,male,shivani,female
jai prakash yadav,male,monika,female
ravi@ yadram,male,shipra,female
chandra kanta jat,male,saraswati thapa,female
rampal,male,sumitra,female
naisi ram,male,suman,female
manoj kumar,male,malika,female
govinda @ govind @ gautam,male,neha,female
balram,male,niraj,female
mohd. salim,male,smt vimla,female
mohd. salim,male,shalu,female
kalpesh,male,mamta meena,female
abdul rajjak,male,chandabai,female
abhishek,male,sapna,female
bharat,male,suman singh chauhan,female
jitender,male,yasoda,female
abdul kadirjilani khan,male,khushboo,female
jism mehar singh bedi,male,ranju devi,female
vinay,male,rekha,female
abdul kadir jilani khan,male,anjli,female
manish verma @ monu,male,poonam,female
rajesh,male,ravita,female
nabi@ bhura,male,sangeeta,female
bunty,male,smt deu,female
rahul,male,miss aanu megwal,female
sh rajendr,male,pooja gupta,female
imaman,male,sunita,female
kaptan,male,kamla devi,female
neeraj kumar,male,rajni w/o harivinder singh,female
sagar kumar,male,swati singh,female
rahul kumar,male,sanju,female
batu@ badhu lal,male,swati,female
vipin gujral,male,manisha,female
dil kush meena,male,kumari sabnam,female
md. khalid,male,ruksana,female
sachin,male,nisha,female
mohd shan,male,smt neeraj deve,female
mohd femaleaiz,male,inderjeet kaur,female
prabhjit singh,male,pushpa,female
ramesh kumar,male,km anamkhan,female
akash,male,pooja,female
mohan lal,male,kumari tena pawar,female
vijay,male,rekha,female
charan dass,male,seema,female
anikesh,male,roopa,female
nazirul,male,smt. pushpa,female
mohd khalid,male,smt. rafemaleikan,female
rajesh kumar,male,samra,female
aanand kumar,male,dhanni devi,female
dharam dev podar,male,japneet kaur,female
jay narayan,male,bhudevi,female
vijay gourav @ monu,male,suman,female
sunny goyal,male,monika,female
joni,male,diksha vashist,female
puran singh rawat,male,vandana kumari,female
sandeep yadav,male,pooja,female
sidheswar,male,veeru kumari,female
radha kishan  yadav,male,reeta,female
rampal singh,male,shivani,female
sanjiv kumar,male,rekha,female
rajender nath,male,afemalesana,female
lokesh,male,pushpa,female
raman rajak,male,bala devi,female
amrit singh,male,sunita devi,female
laxman kumar,male,vandana sharma,female
suraj pal,male,simran,female
nischaya,male,mala,female
deepak,male,amreeta,female
ankit,male,santro devi,female
amit kumar,male,kumari shakuntala urfemale chhotan,female
samir,male,kumari shakuntala urfemale chhotan,female
sandeep negi,male,pinki  bai,female
anil mandal,male,lakshmi,female
meghanath suwedi,male,neha @ baby,female
harish chander saroj,male,archana,female
shishul pal,male,aashma,female
ramphal,male,anita,female
atul,male,maya devi,female
mazhar,male,tara,female
bharat kumar,male,rajiya,female
sanjay,male,kooki,female
sheikh azhar ali,male,komal,female
manish,male,pooja,female
boby femalearman,male,suman rao,female
virender,male,pooja,female
mr. mohamad anwar,male,manju,female
ram nath choudhary,male,gunjan @ guddu,female
ram yadav,male,sunita,female
halke,male,indira devi,female
methun,male,saweta singh,female
mangeshwar,male,radhab kumari,female
taiyab khan,male,seema,female
mo nadim,male,manorma sharma,female
mohammad kaifemale,male,nisha parveen,female
kuparth shah,male,rani shrivastav,female
lal singh,male,iram aara,female
suraj,male,sheetal,female
ranjeet,male,shikha haldar,female
suresh kumar,male,payal,female
vikram,male,suman,female
vicky singh,male,anuradha,female
amit kumar,male,preeti,female
monu,male,milka,female
kulwinder singh,male,shika haldhar,female
himanshu bisht,male,sunita kumari,female
sher khan,male,damini,female
mahender,male,smt shikha haldhar,female
aru,male,chandni,female
aru,male,kumari manisha,female
rameshwar,male,shiva,female
ikramudeen,male,jasoda,female
poshetty gajjala,male,smt puja,female
subhas,male,mamta,female
pardeep,male,ku. neha,female
muskuran,male,hasina bano,female
bhura singh,male,seema,female
sadip,male,satwander koor,female
karan,male,aarti,female
rohit,male,gayatri,female
ratan lal,male,dolly khatik,female
sudhir,male,shallu,female
raj bala @ bharati,male,seema @ devki,female
manish kumar  mandal,male,lakshmi,female
rishab kumar,male,rajni bala @ manisha,female
devesh,male,nagma,female
rohan,male,kalpeshwari devi,female
deepanshu,male,anamika,female
muhmad aarifemale s/o mu.hashin appar bhktiyana srinaga,male,smt. babita,female
,male,kmo reshma,female
sukhdev manjhi,male,pabu devi,female
naved ali,male,karuna,female
amit singh,male,laxmi devi,female
nain singh,male,femaleelicia sequeira,female
mehboob ali,male,"soniya, two daughter  janvi and manvi, ram bhawan",female
sheikh hamidral,male,kamta,female
sunil,male,neetu @ kajal,female
amit kumar,male,seema,female
deepu,male,nisha,female
manoj kumar,male,usha,female
manoj kumar,male,aarti singh @ pooja,female
jatin kashyap@ jitu,male,pushpa devi,female
surender kumar,male,nishu,female
raman singh,male,neha,female
manish,male,shittal,female
gurvinder singh s/o,male,divya,female
annat singh s/o,male,nitu,female
ramkishan,male,laxmi,female
manjit,male,reena devi,female
raghubir singh,male,deepika,female
parhalad yadav,male,anju,female
ramkiashan,male,joginder kaur,female
sankarlal,male,nikita,female
pardeep kumar,male,jyoti,female
aabid,male,turveny,female
abhisek,male,prinka shrma,female
akib,male,sita devi,female
shibu,male,kushum,female
tinku,male,पिंकू कु,female
dheeraj malik,male,meera,female
rohit,male,baby chauhan w/o govind,female
sanjay@sonu,male,mamuni,female
vinod kumar,male,vishavkarma devi,female
miraz ali,male,anju,female
amrit pal singh,male,laxmi,female
moh0 umar,male,anjali@rinku,female
prsant,male,pooja,female
amit kumar,male,kiran,female
amit kumar,male,kali,female
amit kumar,male,baby devi,female
amit kumar,male,smt. pushplata,female
amit kumar,male,kumari sumaila,female
vinod,male,komal,female
satya,male,devkali,female
pankaj dhami,male,priya,female
chorag,male,monika,female
poonam,male,smt ramila,female
sunil,male,manju,female
anil,male,arti soni,female
sukkhu,male,laxmi devi,female
angad bhatia,male,manisha @ yogita,female
duni chand @ bks,male,poonam,female
sanjeev bhardwaj,male,ambika gupta,female
rohit,male,mrs. basanti devi,female
radhamohan,male,mala,female
wazir azam,male,poonam,female
ajay,male,pooja,female
sanjay,male,bhateri @ bhawna,female
manoj,male,arti kumari d/o sunil sadu,female
manoj kumar,male,jyoti,female
ali @ mohd. ali,male,sheetal,female
kumresh,male,aarti,female
mahesh @ madhusudan,male,phooli devi,female
monu,male,rekha devi,female
chtar singh,male,jayoti,female
kuldeep,male,kirti sonkar,female
mahesh,male,asha,female
kishan singh,male,sunita,female
femaleiroz,male,kamlesh,female
harender,male,rinku,female
sanand jha,male,seeta,female
kirashan avatar gupta,male,kumari pinky,female
kanta prasad,male,kumari femaleirdosh,female
rajkumar,male,prati,female
karim,male,geeta devi,female
seeta devi,male,oma,female
deepak,male,mamta,female
pawan,male,pooja,female
noore alam,male,laxmi,female
nadeem,male,rinki,female
vijay kumar,male,chandini,female
wazid husain,male,neha,female
anand,male,priyanka,female
satpal,male,preeti   @    radha,female
vivekanand mishra @ munsi,male,savita,female
sandeep,male,bhagwati@shinnu,female
ibrahim,male,bhagwati@shinnu,female
bhupender,male,bhawna,female
kapil kumar,male,soni@ chunnu,female
waseem,male,pooja,female
neelkant sharma,male,rajiya bano,female
adarsh,male,yashdhra,female
geeta bhagat,male,rijwana tarnum,female
tejpal,male,tina,female
manoj,male,rekha,female
manoj,male,priya kaur sandhu,female
mona,male,kritika,female
mohammad rasid,male,savita,female
sh. janardhan prasad,male,soni,female
hardeep singh,male,urvashi singh,female
tara chandra @ billu,male,mega kumari,female
mahender singh negi,male,soniya hudda,female
jamadar yadav,male,suman,female
prince,male,veera devi,female
bal dev,male,aaliya,female
shailash,male,kulsum,female
amit,male,baby,female
vinit kumar,male,lali @ deepa,female
mukesh,male,babita,female
rama singh,male,kajal,female
raj upadhyay,male,mamta,female
rihal ali,male,pooja @ rajiya,female
narender kumar,male,reena,female
anil kumar,male,anita,female
mamta,male,mhega,female
manish aneja,male,santosh devi,female
kuldeep,male,khushi,female
bijender singh,male,seema devi,female
rame singh,male,smt gori barman,female
mohan singh,male,sanjay kumar,female
rajkumar @ kala,male,garima sharma,female
hasibul khan,male,aarti,female
shiv kumar sharma,male,sangeeta,female
sher ram,male,aayesha khatun,female
pawan kumar,male,soniya,female
kuldeep singh,male,neha,female
radheshyam gupta,male,femaleaimuddin,female
ram singh,male,reena kumari sharma,female
satendra  singh,male,sheela,female
sumit singh,male,afemalerina,female
deepak kumar,male,smt suman,female
ayush,male,sundri bai,female
aakash,male,meena turi,female
ravinder,male,jina,female
naved,male,sanjay,female
bhawani shankar,male,su-shree    pooja,female
rahul paswan,male,mariyam khalique,female
arun,male,manisha meena,female
sujeet vishwas,male,jitendra kumar,female
satendra singh,male,babita,female
sandeep @ leelu,male,shefemaleali@puja,female
kana ram,male,shalini,female
mahender sahani,male,khumlo maria goretti,female
nilu giri,male,km. ankita,female
amit kumar,male,premature devi @ neetu,female
sohan singh,male,rajni,female
amit,male,pooja pal,female
prashant mishra,male,sanjoh sorang,female
ankit,male,khushbu,female
kamal kishor,male,kirti w/o lalit,female
amir hamza,male,smt femaleirdosh,female
chaman lal verma,male,kashum,female
suraj,male,shanaz,female
kamal yadav,male,komal,female
arun sing,male,ratani,female
kamlesh,male,anuradha,female
vicky,male,smt nargish,female
pankaj,male,pinku devi with daughter mansi kumari,female
nabijan,male,renu,female
rahul,male,bantu devi,female
dinesh,male,suma,female
nikhil,male,smt laxmi devi,female
karan,male,smt. mema devi,female
veer,male,khushi,female
rajkumar,male,anju,female
milan,male,mamta,female
arun,male,damini,female
arun prakash tiwari,male,manisha,female
abdul sakur,male,pinky meena,female
ratan lal,male,mamuni das,female
harish,male,km0 anjli,female
amit kumar,male,mahjabi,female
dya shakar,male,jyoti,female
dya shankar,male,sanoshi,female
rohit,male,geeta,female
ravinder,male,ishawar singh,female
karan singh urfemale rahul,male,badru nisha,female
mahender verma,male,soni kumari,female
punit gupta,male,deepa saini,female
rinku,male,saroj,female
mohd. whied,male,smt salni devi,female
jogender singh,male,shobha,female
sanjay @ mani,male,puja,female
harsh sharma,male,gurmit sharma,female
ashok kumar,male,shiwani siyal,female
suresh,male,shiwani siyal,female
vikrant singh,male,meenakshi,female
roshan singh,male,urmila w/o lt. ashok kumar,female
deepak kumar,male,aasha devi,female
chetna,male,mansavi @mahi,female
santosh,male,soni,female
naresh kuamr,male,shikha singh,female
awdesh kumar,male,femalearah,female
vikas,male,kanak lata,female
brijlal giri,male,sangeeta,female
devanand,male,smt neetu,female
amar deep,male,aasha,female
deepak sharma,male,mahi@munasvi,female
pramod shrama,male,smt suman,female
rajesh,male,km sarika  kothari,female
rajender kumar,male,bhawna,female
tarbez ansari,male,priyanka,female
uma shankar,male,kumari jyothi,female
riyajuddin,male,rinky,female
ajit singh,male,rubjaan bibi,female
ajeet,male,lilabai,female
salim,male,ritu,female
om prakash,male,ruksar,female
mohan lal,male,neelu,female
kaushal,male,pooja,female
vijay,male,chandkor,female
subhash,male,manjeet kaur,female
harshdeep,male,smt mena,female
sahil khan,male,ku-pooja,female
nitish,male,renu,female
roop basant meena,male,anita,female
gandhi,male,miss madhu meghwal,female
abhishek @ rohit,male,suman or lali meena,female
vaseem @ monu,male,sangeeta,female
vijay kumar,male,ku.  kamini,female
ajim,male,miss afemalereen,female
राजु,male,shanjhan,female
ujjawal upadhyay,male,asman,female
amit,male,babita,female
subhash chander sukhija,male,muskan,female
rihan,male,kusham,female
rohit,male,anu,female
,male,geeta,female
dharmender,male,ruksana,female
bhikhari,male,annu,female
matadeen,male,kumari endra chand,female
sukhbir,male,mandira  devi,female
md hasan,male,samaprveen,female
manoj,male,rekha  devi,female
ravinder singh @ bunty,male,kumari indira chand,female
shivaji rai,male,tashkkur sultana,female
ramjeet,male,nahani kanwar,female
dharmender,male,tranoom,female
suman,male,rachna,female
shakti singh,male,smt. meera,female
gopal dass,male,arti devi,female
sehjamal urfemale munna,male,mamta,female
nitin,male,smt sita devi,female
ranbir singh,male,priyanka,female
bintu,male,sunita,female
monu,male,suman,female
bhola nath,male,poonam,female
laxman lal tundwal,male,shabina,female
sunil kumar,male,salma biwi,female
md hassan,male,anita,female
gopal lal,male,sunita devi,female
hayatul,male,saneha,female
santrm,male,shakuntla,female
birju,male,hemlata,female
mohan pandey,male,shkundla devi,female
monu,male,dipali,female
somnath batra,male,khushabu,female
anil kumar,male,smt. jayoti  rawat,female
saurabh,male,seeta bai,female
mahavir,male,hafemalesa draboo,female
jai parkash,male,rekha,female
shahnwaj,male,,female
lakhan,male,chanda @bharti,female
nrendr,male,amrik kaur,female
ahupendra,male,gayatri,female
khajan singh,male,roshani,female
vikrant,male,sunita @ kajal,female
kuldeep,male,kushmita,female
dharmveer,male,lalita,female
pintu,male,garima,female
aakash chaudhary,male,chandni,female
deepak,male,smt alkha,female
lal man gupta,male,preeti,female
rohit,male,kumari kuljeet kaur,female
deepak,male,renu,female
mehboob,male,nikhat,female
saddham,male,kamlesh,female
prem singh,male,seema rathore,female
youraj,male,deepika burt,female
puspendar,male,shivani,female
rahul,male,neha @ neelam,female
puneet,male,smt. pujadevi,female
ajay,male,pooja,female
ravinder,male,anjali,female
rahul,male,poonam,female
satbir kumar,male,mamta paliwal,female
babulal,male,reena,female
parnav kumar,male,samrin,female
anash,male,rukmani bai,female
shiv lal nehara,male,saroj,female
manoj kumar josi,male,km0 priyanka,female
mohan lal,male,poonam,female
mukesh,male,poonam,female
kirshan,male,usha mathews,female
krishan kumar,male,poonam,female
kaushik kumar,male,afemalesana,female
munna lal,male,arati kashyap,female
shahnawaz,male,mamta,female
kanok,male,kumari shakshi,female
aakash,male,monika,female
azhar khan,male,shetal rani,female
surender,male,kamna devi,female
bijender,male,ntasha,female
sahna,male,ku. shivani,female
kanok,male,rena,female
mohmed kanok,male,hema,female
abdul gani,male,nikita @ sweety,female
ram bhrose,male,ashima khatoon,female
ayube,male,asha devi wth a child,female
ashok,male,neetu,female
kirshn goapal jadhon,male,asha,female
kirshn goapal jadhon,male,bimla,female
mohd monish,male,sanju,female
arsad,male,gulsha @ seema,female
ghanshyam,male,renu pal,female
dharmender kumar,male,kumari rohini,female
suresh chand,male,tulsi,female
jitender soni,male,parmeswari,female
balam,male,asha kashyap,female
rajeshvr,male,rajni kanwar,female
sandeep,male,pooja,female
shahvaj,male,karishma bathi,female
pintu meghwal,male,shimpi kumari,female
nathulal,male,barkha,female
vikki,male,shabila,female
mo sarifemale,male,lalita,female
harish kumar,male,jashinal,female
shivraj,male,ku. pushpa,female
bijender singh,male,mursida,female
muksndi lal,male,neha,female
raju@rajesh,male,swati,female
raj kumar,male,mamuna @ dholi,female
ratan lal,male,samsida,female
sonu,male,seema gujar,female
madan,male,neelam,female
madan,male,sangeeta,female
partik kumar,male,rama,female
shubhm,male,neharika @ neha,female
dev dutt,male,poonam,female
aafemaletab alam,male,pooja,female
subodh yadav,male,begam d/o,female
sujeet haldal,male,devyani,female
vijay  kumar tiwari @ pappu,male,khushboo,female
karan pandey @ kumar pandey,male,hemlata,female
anil kumar,male,pinki,female
lalu,male,priya,female
raj  kohli,male,kavita,female
"jasvinder singh, kawal jeet kaur (wifemalee 35 yrs), an",male,rupen gore,female
anli kumar,male,kalpana,female
shami walia,male,kamlesh,female
sonu,male,smt amarin bano,female
gheesa singh,male,reema,female
santosh s/o pradeep mandal,male,shilpa,female
sh.vipin kumar yadav,male,vanshika,female
ram parvesh,male,rawi devi,female
mohit,male,hiri bai,female
shah afemaletab,male,sonu,female
kishor,male,smt jyoti sharma,female
ranjeet singh,male,seema bai,female
dheeraj passi,male,suman,female
sunil kumar,male,premi devi,female
mithlesh yadav,male,smt. kamla devi,female
ramkumar tiwari,male,priyanka,female
surender,male,anjum,female
dhiraj passi,male,sufemaleia,female
kirtiman,male,muskan,female
dikshant,male,shivani,female
bhanvar singh,male,rukhsana,female
deepak kumar,male,preeti,female
deepak,male,supriya,female
shokat,male,irfemalea,female
sorbh,male,gendu kunar,female
rajendar sen,male,poonam,female
narendar,male,manisha,female
pujja,male,safemaleiya,female
amarchand,male,smt mahima bajaj,female
ram shabad,male,smt rukshana,female
raj kumar,male,smt. teena gameti,female
naresh bansal,male,kavita,female
amit sachdeva,male,punam,female
aashish,male,neemi,female
narender,male,rahat,female
lakhi,male,kamla,female
praveen @ puran,male,deepa @ gudiya,female
ranbir singh @ sonu,male,preeti,female
sarvesh kumar@lallan,male,minakshi,female
samir,male,hena praveen,female
jogender,male,sosan devi,female
omesh,male,sangita,female
suresh,male,rekha,female
buhan chandara,male,rajni,female
sahrik @ ikbal,male,smt manju,female
sarita,male,rekha,female
sameer,male,rajni,female
nenhe sidhque,male,kanta devi,female
kesav mehta s/o bhupender mehta,male,meena w/o,female
mohit @dua ji,male,madhu kumari,female
mohd hanifemale,male,pooja gupta,female
vijay kumar,male,meenu,female
mansoor ali,male,rani,female
mustkeem ali,male,mahvish,female
bhavisaya rai choudhry,male,shahrish,female
mustkeem ali,male,resham,female
ashwani saluja,male,jiya,female
sharib,male,sunita devi,female
tafemalesir,male,simran,female
avnish kumar @kallu,male,preeti,female
vishal @ ashu,male,babita,female
sanjeev sarkar,male,anita,female
deepak kumar,male,aarti,female
deepak,male,reshma,female
arun,male,kajol,female
bhanu @ sanjay,male,kajol,female
omprakash @ golu,male,anu,female
mayank @aakash,male,anjali,female
anita,male,shiwani,female
jile singh,male,rajo devi,female
sher singh,male,rajkarnta,female
zahir miyan,male,manisha @ lutka,female
dhuruv shetty,male,nancy,female
m rajeev,male,harsha,female
sandeep,male,hasina,female
kanheya lal,male,lilabai,female
p dinesh raju,male,vimla,female
ashu kant @ tridev,male,saifemaleali,female
chandu paswan,male,geeta kumari,female
karan,male,geeta oram,female
pooran singh saini,male,jaya chauhan,female
lakhan,male,poonam kumar,female
deepak gupta,male,rinki,female
suraj rana,male,nirjla devi,female
gaurav,male,smt.sunita devi,female
mohd anwar,male,saroj,female
harvans,male,beena,female
vijay kumar,male,nahid,female
baburam singh,male,kumari anita,female
mangal,male,hema devi,female
imtiyaz,male,nisha,female
bansi lal,male,anita,female
rajesh,male,rekha,female
parvesh kumar,male,sulekha,female
bahadur,male,rinki,female
mohit kumar,male,kanchan,female
om prakash,male,babli d/o suresh,female
janak singh dadwal,male,chandani,female
amit sharma,male,maya,female
narayan ram,male,pooja,female
kapil,male,kavita,female
dev,male,neelam,female
rahul,male,rekha,female
mohd salman,male,samaprveen,female
dalip,male,tabassum,female
rishabh,male,babli sultana,female
anil jain,male,riju devi,female
umesh kumar,male,rajni,female
hawa singh,male,shabnam,female
dinesh siriwastav,male,rakhi,female
rishiraj,male,sanjana,female
arun,male,shehnaz @ ravina,female
suresh kumar,male,geeta,female
charan singh,male,badarjahan,female
moolchand urfemale banti,male,shabana,female
natthu,male,neha,female
khubchand,male,sushila,female
ram anuj kumar,male,rani,female
hazari lal,male,kiran,female
tinku,male,sonam,female
manmeet singh saini,male,jyoti meghwal,female
afemalezaj ansari,male,ruksana,female
rahul mishra,male,ku. neeru,female
rahul,male,rakhi,female
bhupender singh,male,pooja,female
shiv kumar @ rohit,male,bhabhiya (with mother namely rakhi),female
kishan yadav s/o thag yadav,male,manju,female
sanjeet,male,sunita,female
ranjeet kumar,male,gitika,female
iswer singh,male,isika,female
anubhav,male,mithlesh,female
ravish kumar,male,iram naaz,female
suraj,male,sweta anand,female
lala ram,male,paramjit kaur,female
kamal kakkad,male,neha,female
mohd. latifemale,male,dibya prakash gupta,female
ashish,male,aasu,female
shkur khan,male,anita alongwith her child prince,female
inder dev singh,male,richa kumari,female
sashi,male,pooja,female
dataterya devi dass jadhav,male,smt. gattu devi,female
mohd sabbir,male,smt. susheela,female
amit sharma,male,smt lata,female
ganesh yadav,male,sugna meena,female
babu lal,male,harvindra singh,female
mumtaj ahmad,male,geeta devi,female
sahid khan,male,srita devi,female
ranjeet singh,male,smt. ugam  kanwar,female
mithlesh,male,kavita,female
ajay kumar,male,chanchal kumari,female
sumit kumar,male,aarti,female
dilsah hassan@sambhu,male,taniya saini,female
ravi kumar gangwal,male,shobha,female
upender jha,male,rani,female
aansu,male,najma khatun,female
mani kumar,male,poneem,female
md. ashik,male,mani,female
shyam lal meghawal,male,jenifemaleer,female
shanker jha s/o brahmdev jha,male,sangeeta,female
jitender,male,sudesh devi,female
ganesh,male,anita garg,female
arab singh,male,jenab,female
jitan ram,male,komal,female
mukhtar,male,maya devi,female
kurban ali,male,salama,female
nasim,male,komal,female
anurag chander,male,anita,female
pappu @ gurmeet,male,gori,female
deepak,male,neelam,female
sahil,male,navdeep kaur,female
gyandeep,male,rihana,female
femaleaizal,male,durga kumari,female
harbansh singh,male,kajal@ poonam,female
kuldeep kumar,male,jyoti,female
femaleaizal,male,femaleatima khatton alongwith her child,female
birender kishor bhala,male,chandani,female
laxman bhadur,male,jasbir kaur w/o,female
omparsad,male,harpreet kaur w/o,female
ziarul rehman,male,sahiba d/o,female
sarvesh,male,laxmi,female
mahfemaleooj,male,payal,female
babu ahmad,male,smt kailashi,female
satyanarayan,male,ranjnika jat,female
janta,male,guddi bai,female
neeraj,male,sitara,female
gaurav,male,nitika,female
simranjeet singh,male,mansi khurana,female
devi dass,male,anita,female
sitaram,male,hemlata,female
naveen,male,sonika,female
shree bhagwat nishad,male,sania,female
mohmad shadi,male,marium,female
ajay,male,santosh kaur,female
rudra pratap,male,zeba parveen,female
nitesh,male,neeru,female
sandeep,male,soni,female
afemaletab,male,seema,female
mahfemaleooz,male,rukhsar,female
sundar lal,male,payal,female
satyam,male,anju,female
akash mandal,male,nanshi,female
jalsingh,male,sangeeta kumari,female
amit parasar,male,smt. murti devi,female
kundan ram,male,anju jain,female
mukul @ sonu,male,gulshana,female
mukesh,male,govind kunwar,female
amjad,male,vijaynti,female
om prakash,male,anju jain,female
rashid ali,male,shalu,female
deepak prasad,male,sunena,female
tarun soni,male,sabnam,female
mahesh kumar,male,kusum,female
khushnaseeb,male,poonam kumar,female
khubi ram,male,shakshi,female
mohd akil,male,jyoti,female
goverdhan,male,anchal,female
raja,male,chanderwati,female
ravinder kumar,male,laltia dass,female
reyaz ahmed malik,male,ambika,female
subodh kumar,male,sapna,female
pardeep kumar,male,jyoti,female
hari om,male,jyoti,female
deepak,male,pooja,female
rajesh sharma,male,deepa,female
sumit raghav,male,geeta,female
mahaveer mehto,male,poonam,female
sh phool chand sharma,male,poonam,female
shiv kumar,male,neelam with 4 years baby sukhmani,female
raj kumar meena,male,ku- sonu,female
ashok @ shoky,male,pooja,female
rajaram @ radhey,male,rekha,female
shree pal,male,soni,female
netra singh,male,seema devi,female
manish rana,male,geeta,female
shyoram avatar,male,sahrul nisha,female
saroj kumar,male,kanchan,female
karan jeet singh,male,reetu,female
harish kumar,male,asha,female
mudasar,male,bharti,female
varsha,male,pinkey,female
amit kumar,male,utpana davi,female
suraj,male,brkha,female
ram kishan tomar,male,nikita,female
surendra singh,male,preeti,female
